SNR,F1 score y_hat,F1 score y
10,0.7921434454606048,0.7992040113197953
15,0.7574378412094893,0.7789284024369855
20,0.7714713074243942,0.8039672833124794
25,0.8063685574742332,0.8094376666882663
30,0.7944349005860047,0.7966810070813714
35,0.7648813531560996,0.8054536677846011
40,0.8028262123290506,0.8028932813111711
45,0.8058228522522688,0.8040527016010263
50,0.8058228522522688,0.8053469628952875
-10,0.011764705882352941,0.026162464985994394
-5,0.19177153975687194,0.21337351691050874
0,0.5507433064591638,0.5207593360811555
5,0.7041042343996912,0.6947356789826232
10,0.7502213496632758,0.7434539961713
15,0.7512845686688218,0.7514822685108236
20,0.7670783729970803,0.76007827621814
25,0.7909466553313369,0.7727369299520633
30,0.7833200806301062,0.771203829161449
35,0.7662447505543147,0.7636019490610544
40,0.8077642512540739,0.7617056603882448
45,0.8081610766508994,0.7630942382157924
50,0.8077642512540739,0.7604515320847142
-10,0.019845513963161022,0.036927043544690605
-5,0.281989288663817,0.2976694214894793
0,0.5147055221603272,0.5268864833525275
5,0.7055395818689452,0.6732332754605073
10,0.6948926837389179,0.7291481763385502
15,0.7423781753819969,0.7677713859882123
20,0.7421253912172674,0.7657727927314101
25,0.7694636580003349,0.7597882231663758
30,0.7649166639958638,0.758439079247874
35,0.7575148603678891,0.7631169136533476
40,0.7685768952174098,0.7607467495005006
45,0.7685768952174098,0.7607467495005006
50,0.7642090791254558,0.7607467495005006
-10,0.00625,0.023849681020733655
-5,0.2501667792078163,0.17752395663828363
0,0.531615855408959,0.5243217899431452
5,0.6281145301356299,0.6358746112009241
10,0.7866947116032674,0.7758460548527666
15,0.7851678876399825,0.7628400245712206
20,0.7857397137350286,0.7815814449287138
25,0.8153644330965542,0.7639565765796025
30,0.8115674934224482,0.7680601637403827
35,0.7973005248739515,0.7691738818799303
40,0.8113228737088919,0.7673105278426632
45,0.8125204610065759,0.7689855204962042
50,0.8099495390207604,0.7673105278426632
-10,0.006896551724137929,0.03798746429338288
-5,0.21093524685531148,0.27313335032814723
0,0.5077022267303597,0.5544386079348148
5,0.7072550369908122,0.7224090682269124
10,0.7672729830451157,0.7598674489245363
15,0.7825084867579053,0.7531972817902443
20,0.78120444538444,0.7545097719850213
25,0.7917812148778953,0.7710620139724855
30,0.8076126334836013,0.7717826728413382
35,0.7889377524403879,0.7722936571720764
40,0.7975646460560748,0.7744792686450425
45,0.7983866231272406,0.7712023290619472
50,0.7983866231272406,0.7753365864650057
-10,0.004347826086956523,0.03579788298103459
-5,0.15469205504035793,0.16664403823994925
0,0.5769100204257598,0.5207224554934157
5,0.6953157989663673,0.6961050232155891
10,0.756696396147544,0.7677661447734605
15,0.7712955052003718,0.7772683160483658
20,0.7868084365650528,0.7769567290366708
25,0.7921239300215182,0.7912476201855588
30,0.7888631463739014,0.7894654023904932
35,0.784603145208519,0.7909777480695055
40,0.7999357895515563,0.7894654023904932
45,0.7972530883489661,0.7876384793135702
50,0.7972530883489661,0.7894654023904932
-10,0.010408432147562582,0.04864702200394819
-5,0.1111042846042846,0.18614021983763912
0,0.46918242550164946,0.47097033012180284
5,0.7005710318625178,0.6881341744245472
10,0.7472792289225401,0.7837796445684128
15,0.7761196201518611,0.7872738118838731
20,0.7786376776750517,0.7809868288331321
25,0.7773085816771986,0.7802097683736877
30,0.7770988873114375,0.7912031412529752
35,0.7698275825331318,0.7952891627583516
40,0.7940651817478201,0.7877022256434516
45,0.7929471693254599,0.7912031412529752
50,0.7940651817478201,0.7912031412529752
-10,0.023596491228070178,0.055914762392190565
-5,0.27905359530931745,0.33714200116204873
0,0.5027514375953407,0.5096150214845879
5,0.7045155789913597,0.7059046906104152
10,0.7575695578930873,0.7687512577179008
15,0.7598274390089698,0.7856014450754392
20,0.8025327755855663,0.8073561466587309
25,0.8266674346155088,0.7921996925606067
30,0.8116098697392934,0.787626058248302
35,0.8015780341419572,0.8039739994618861
40,0.8174630553625599,0.8026423843416112
45,0.8174630553625599,0.8026423843416112
50,0.8174630553625599,0.8026423843416112
-10,0.011764705882352941,0.023659373659373657
-5,0.2644004288853456,0.27918324327113764
0,0.6093344833368942,0.6007864266977123
5,0.6808775657544189,0.694105297733594
10,0.7936659777988166,0.7733340567418197
15,0.8075519200250969,0.7918128938406565
20,0.8140075502199814,0.8105550253376347
25,0.8206360279237941,0.8063620641659547
30,0.8283490305016109,0.8089327390631738
35,0.8210817887394365,0.8035195879196856
40,0.8162492235837554,0.8100348411652758
45,0.8162492235837554,0.8110014033387346
50,0.8162492235837554,0.8100348411652758
-10,0.019047688614858494,0.03224147767793468
-5,0.20025519127903418,0.2783078491104659
0,0.546138298716514,0.536066201856543
5,0.7182005094750155,0.7423940788466588
10,0.7594401719794207,0.7444226236797861
15,0.7635385346331961,0.7527944198000298
20,0.7672584205048916,0.7619232555493248
25,0.7745067936442837,0.7709119749986473
30,0.7788256864537011,0.7591444903517954
35,0.7756521761005046,0.7630957693545352
40,0.7893278523883643,0.7594624247951834
45,0.7893278523883643,0.7597022588402815
50,0.7893278523883643,0.7597022588402815
-10,0.012121212121212121,0.045716755194391716
-5,0.19439576131742595,0.2756528089473608
0,0.4889688441159146,0.5148463895634297
5,0.7014771406840743,0.7048791129656305
10,0.7882239275330627,0.7431682839490518
15,0.7816908448569306,0.7809068593748459
20,0.803301072821597,0.7886522309344521
25,0.8082555376581704,0.781751317443016
30,0.8142769242933572,0.7885896869585153
35,0.7973265354998318,0.7822350862832189
40,0.8129130411135493,0.788273733626214
45,0.8080284245687496,0.786362580181889
50,0.8080284245687496,0.7837723859173191
-10,0.015692307692307693,0.0324828126223475
-5,0.19289818965003463,0.3027905913353484
0,0.5386754229592751,0.54228747381499
5,0.6792527123798393,0.6933115259846778
10,0.7432793018194239,0.7220724047137355
15,0.7779364429261886,0.7685909248510883
20,0.7759145942866873,0.7642974487272334
25,0.7889366685349356,0.7807104954508446
30,0.7940204512909014,0.7750323042181484
35,0.7743439813902897,0.7811732867223077
40,0.7933999723100216,0.775030433228354
45,0.7943448139852003,0.7800639930054357
50,0.7943448139852003,0.778107356305277
-10,0.010606060606060605,0.010606060606060605
-5,0.13934140364509146,0.1826005867644382
0,0.5510529621932422,0.5261783360785459
5,0.7294986344301119,0.6710313704917013
10,0.7585573384873003,0.7675573003769136
15,0.7816437963231442,0.7821343966969638
20,0.7917898396755447,0.7837212361447659
25,0.7963092430931074,0.7961666142071484
30,0.8005425384894835,0.8070926720004543
35,0.7930324539740614,0.8010883091760019
40,0.8039090058717505,0.7975862462228422
45,0.799369092302293,0.795564388299345
50,0.8012273965996217,0.7975862462228422
-10,0.021474556839227443,0.06297341841678226
-5,0.2618750583661664,0.29128202183786334
0,0.5335805424245915,0.566452650290354
5,0.7215491820453088,0.7176365751927551
10,0.744522570682007,0.7545482366619167
15,0.7487286570753982,0.7810313226916608
20,0.7660412515430722,0.769735466130341
25,0.7959721462456953,0.7789312225975512
30,0.7916529635665176,0.7803643885484827
35,0.7680572588460393,0.7776144789629336
40,0.7908951373469683,0.7815279086939084
45,0.7962039235197955,0.7771770420037576
50,0.7962039235197955,0.7771770420037576
-10,0.0,0.028528909804014364
-5,0.1831972490830776,0.2376032748889892
0,0.4943493455375533,0.5252657999058681
5,0.6902157346219289,0.689392644908705
10,0.7637579626548612,0.7686838438490174
15,0.772286552308578,0.7845891080915252
20,0.764571343581693,0.7809821322435069
25,0.7762296715922467,0.7866789736390281
30,0.7754364578037092,0.7807850997759636
35,0.7633232564479651,0.7829046738955376
40,0.7844531839338775,0.7853070762979402
45,0.783367702251381,0.7836796216270071
50,0.7847962736799523,0.7853070762979402
-10,0.0,0.026768324351017003
-5,0.17189923350248376,0.2681298203740833
0,0.5144277574967873,0.5389459055232515
5,0.7034732460096771,0.6987998145622203
10,0.7511104937953007,0.7516643678780993
15,0.7551059232113537,0.7926053155190739
20,0.7601982505840887,0.7627941597041156
25,0.7843655327809603,0.7837007409389083
30,0.7891811693824593,0.7684278418308347
35,0.7630379870253066,0.7820377520211252
40,0.7952072239305321,0.7772053746365177
45,0.7940276196687359,0.7749497355387733
50,0.7965629976565723,0.7771275939779748
-10,0.01231060606060606,0.048493631971892846
-5,0.21012591028316643,0.2381552076403505
0,0.531584146657022,0.5709628100723714
5,0.687341073359225,0.7024788305887472
10,0.7375412006462732,0.7500535361192651
15,0.7510495203659413,0.7639195514285231
20,0.7546721263858951,0.7480539197903437
25,0.7727857800669593,0.7562407588142572
30,0.7789329196552564,0.74453650295479
35,0.7548993218443577,0.7488824215086424
40,0.7669206664458794,0.7542598564491273
45,0.7669206664458794,0.7539493174757499
50,0.7683707348453322,0.7539493174757499
-10,0.007142857142857143,0.030073260073260073
-5,0.1572425827489697,0.21584013734648946
0,0.5456688747777744,0.5300803715425564
5,0.6667465772298641,0.7066189650018522
10,0.762086537702378,0.7406077606441944
15,0.7669332497294551,0.7671931009990514
20,0.7551392374838949,0.7358960909426779
25,0.7555799656660682,0.7389650364585312
30,0.7660726920036621,0.7441457057663605
35,0.7523518764520313,0.7437249628093617
40,0.7587884960771445,0.7472112448784113
45,0.7572740559007325,0.7441457057663605
50,0.7572740559007325,0.7472112448784113
-10,0.03083694083694084,0.058104018788229315
-5,0.0932598992962997,0.2123299168527164
0,0.5589667107855998,0.556661717475995
5,0.6962647322032696,0.6682641996196875
10,0.7620908814878373,0.749063209670673
15,0.7498143801344411,0.7762815373481695
20,0.7898319418285941,0.7794228687597778
25,0.798624597698615,0.7942730454462603
30,0.8081341153024721,0.7895622675196574
35,0.7957957494213649,0.7910050492289422
40,0.7994235444752111,0.7898704639394274
45,0.7964352323102988,0.7887828270067201
50,0.7964352323102988,0.7910050492289422
-10,0.014074074074074072,0.06505305245436824
-5,0.18813518184242645,0.29954622673508124
0,0.5529695454097373,0.5272902011627113
5,0.6721493560569192,0.6578861690752104
10,0.7715077058608705,0.7522339196634301
15,0.7695408975515144,0.7751186429067914
20,0.7820389137636534,0.7814080857869187
25,0.7935928458052212,0.7748237793652967
30,0.7969855861004187,0.7816846494125306
35,0.7808093315442545,0.7855541538425223
40,0.7918016234760094,0.7740250023799907
45,0.7929819014124266,0.779455836439857
50,0.7929819014124266,0.7758268041817924
-10,0.016573099415204677,0.02757091140549787
-5,0.24879295227786394,0.2600591978524649
0,0.5130921066682577,0.47216286645174427
5,0.6798369605897021,0.6947720307327436
10,0.7386288050113474,0.7430388700891273
15,0.733802821677755,0.7343095326251717
20,0.7486863631898378,0.7415927893550958
25,0.7554656993927936,0.7499708153613377
30,0.7591168789646023,0.7428534059884329
35,0.744440504782298,0.7512328710106982
40,0.76352216242049,0.7495313351177877
45,0.7605195420174901,0.7495313351177877
50,0.7596511946785545,0.7511270797986389
-10,0.0278019903019903,0.049730916558015884
-5,0.132579705775056,0.20506841031899165
0,0.483418788800411,0.47370627851082786
5,0.6635518647443973,0.6504762343383407
10,0.7617770426365678,0.7762577936555793
15,0.7687764171886048,0.7790775092848686
20,0.7766791318583176,0.7979151363541608
25,0.8047269620849133,0.7914751496498593
30,0.8035097198001839,0.7942606804478184
35,0.7888169046534921,0.7935542202407875
40,0.8109074626567455,0.7960059897108949
45,0.8097787497854583,0.7971473417741083
50,0.8109074626567455,0.7986210259846346
-10,0.0,0.01987552176505665
-5,0.15760851864435205,0.23434030065305017
0,0.5253695253467286,0.5293818448206464
5,0.7052635303420879,0.7146636272007294
10,0.7735022517667355,0.7922171655704628
15,0.7660692596009401,0.7995187936737231
20,0.781249679428789,0.7909001334976427
25,0.7917558950511743,0.7874494302343447
30,0.783617352416339,0.7985489398793206
35,0.7814370171335412,0.7901784850350572
40,0.7932797674669976,0.795068175350383
45,0.794677391506131,0.7939816562356948
50,0.7884312826185127,0.7915326766438581
-10,0.032138342277877166,0.05117615171095646
-5,0.21035202354738808,0.24788011737975055
0,0.5905836175727638,0.5564030038322604
5,0.72183025111017,0.714650436634848
10,0.7830728575428401,0.7803485744294082
15,0.7581178785021097,0.7779215734730388
20,0.788271963752657,0.7862458580689586
25,0.7790800165468358,0.7802524531855265
30,0.8050771861690095,0.7736767821095719
35,0.7956037808257453,0.7798390745598269
40,0.793755632406256,0.7782250394721077
45,0.793755632406256,0.7798390745598269
50,0.793755632406256,0.7798390745598269
-10,0.004878048780487806,0.01150877192982456
-5,0.20070682499153744,0.2991196391196392
0,0.520055462500527,0.5236949300107194
5,0.684916620309313,0.6914999498455263
10,0.7600975472546511,0.7700089935037215
15,0.7489598286128301,0.7806918424895614
20,0.7685069015148909,0.7869184736831796
25,0.7809630747087515,0.7871428442558474
30,0.773896645021645,0.7865132048627449
35,0.7586594393210924,0.7864459292915282
40,0.7674631627144122,0.7882346446123536
45,0.7677252245961923,0.7865132048627449
50,0.7659646612159107,0.7858506156680456
-10,0.03218906287211241,0.035957602339181285
-5,0.15198888551894876,0.24486845078168834
0,0.533537609281169,0.5311868745261422
5,0.6870762986372829,0.6794428764836782
10,0.7596194735665693,0.7715136207220833
15,0.7821519038143976,0.7994104214678177
20,0.8186893351137158,0.7923651714271889
25,0.833671931363166,0.8024218036291414
30,0.8259451789256174,0.7935136426049645
35,0.8150914704326997,0.7981233056516451
40,0.8182719065027142,0.7960059432801992
45,0.8185839800653731,0.7960059432801992
50,0.8190137171776094,0.7960059432801992
-10,0.03389285714285714,0.0819572922204501
-5,0.207013544837457,0.2139569540105799
0,0.5392251933045922,0.5692173700481638
5,0.6852200906122214,0.6968157230196704
10,0.7532191301428338,0.773584633631787
15,0.7664855922416767,0.7781856343872424
20,0.7688234637626707,0.7779941401316337
25,0.7791205359712636,0.7717401206557833
30,0.7766721205829108,0.785973876715135
35,0.7700974292317327,0.7858818607561834
40,0.7794567310658834,0.784146953638212
45,0.7767798001536583,0.7830604345235237
50,0.781679055842556,0.7830604345235237
-10,0.0,0.010256410256410258
-5,0.1687856304003737,0.2700584933666179
0,0.49656594141164073,0.5474145254528046
5,0.7002068127296526,0.6892010004128917
10,0.7405343026199702,0.7373477888442086
15,0.7537003895227579,0.7721645195346231
20,0.7682002267250982,0.7615393734449354
25,0.7735563885665901,0.7703393991522305
30,0.7775555879920206,0.7613266173455306
35,0.7725151593816448,0.7683014281658662
40,0.7845796726236568,0.7683014281658662
45,0.7845796726236568,0.7683014281658662
50,0.7865141964331805,0.7683014281658662
-10,0.01818181818181818,0.032564970432617496
-5,0.2701526234864916,0.2631143179313911
0,0.4557017367940002,0.4829446523751436
5,0.6708791429474887,0.7143046642779237
10,0.7523848065248628,0.7750494862960724
15,0.7493765602790803,0.7724003723579723
20,0.7655972786750648,0.7779119107449242
25,0.7847126963147976,0.7739625946470127
30,0.7870740257610744,0.7721981188751348
35,0.7756714389804545,0.7776400215621356
40,0.7985237880523932,0.77019798283586
45,0.7982990198970275,0.7688420506324702
50,0.7996651401156065,0.77019798283586
-10,0.013203463203463203,0.0439507354023483
-5,0.19335497516513905,0.2644070404623025
0,0.5345734500091178,0.5084168063712774
5,0.6906741206815175,0.6941263132505879
10,0.7993381184365724,0.7749313731929165
15,0.7948044383298443,0.7772050264403911
20,0.8031628217435568,0.7914051891149132
25,0.7980067995556106,0.7869809158899883
30,0.8021348238864746,0.785818907640902
35,0.7947539775623763,0.7879291044780621
40,0.7972271900247945,0.7862465157469525
45,0.7970562180362677,0.7880757840396353
50,0.7982358222980637,0.7880757840396353
-10,0.05440650453993782,0.04565365541098605
-5,0.17472827699362686,0.2553679092050668
0,0.5956764431624498,0.5930905949029409
5,0.710953873368665,0.7403585145761828
10,0.7678347322473675,0.7624214528031631
15,0.756508462455599,0.7689966718657445
20,0.7787722680131143,0.7663335362268093
25,0.7858890685816255,0.7785082944084556
30,0.7858064238671637,0.7811814892155368
35,0.7824478069791071,0.7777038214375235
40,0.7953609632592886,0.7826326890229043
45,0.797170099396783,0.7804248968151121
50,0.797170099396783,0.7804248968151121
-10,0.04909536168610579,0.08000096545082705
-5,0.2599974462406404,0.2866600002114502
0,0.5301867234450115,0.5065844023794323
5,0.6867104842442184,0.7160052602026681
10,0.7835303070424066,0.7790137080917825
15,0.8006411328206486,0.7749053293584673
20,0.7808269768476213,0.784732194637732
25,0.7868421465841182,0.7787584576060448
30,0.791219396823598,0.7787900415894919
35,0.7933713580687329,0.7732378344313402
40,0.7878285875028292,0.7713941118676879
45,0.7908483319859883,0.7713941118676879
50,0.7878285875028292,0.7725354639309012
-10,0.005405405405405406,0.02878757878757878
-5,0.1957060778269686,0.3027249584683357
0,0.5440046373831203,0.565555866982013
5,0.7124739612035238,0.7455007770695381
10,0.7473388575898405,0.7539350312299179
15,0.7671132397594735,0.7735756527730606
20,0.7845338556368648,0.7828271901948056
25,0.7930474913561665,0.7717612141310031
30,0.7916526924260336,0.7815458105003448
35,0.7906556173081963,0.7815693213539616
40,0.7859022902722784,0.7788438949515165
45,0.784760938209065,0.7803949153596798
50,0.7835800841764874,0.7788438949515165
-10,0.029353441992976875,0.047468286099865045
-5,0.16143053427671666,0.24886143778856065
0,0.5619146427034146,0.54725304750402
5,0.6972176327668005,0.6945650266366679
10,0.7646971405696007,0.7830998562907058
15,0.7583934791616954,0.7943138879352987
20,0.779073460815968,0.7833632950537348
25,0.800501820992338,0.78506114480876
30,0.802722881049305,0.7857071266292632
35,0.7741306170149638,0.7898730026034999
40,0.814012906996331,0.7890539426542853
45,0.812101485084909,0.7890539426542853
50,0.812101485084909,0.7903520195773621
-10,0.017657192075796725,0.06007677858721501
-5,0.15001995538455723,0.26586742982188427
0,0.5452301628009513,0.5857302043779671
5,0.7117114307231561,0.716219504885805
10,0.7488436217086115,0.7432988158775552
15,0.7707603678423541,0.750190053141431
20,0.772298401290979,0.7548498541108514
25,0.7795208918546469,0.7637050480498946
30,0.7787078623564574,0.7669416850832843
35,0.7750316837448022,0.7726442024549434
40,0.772813829361994,0.7710151761683828
45,0.7784862831016125,0.7698768992758753
50,0.779740236288401,0.7683867031974441
-10,0.02431077694235589,0.05889627915943706
-5,0.2544019373635742,0.2536839310373183
0,0.541567844847296,0.514991708779456
5,0.7102154008429832,0.6760671995746094
10,0.7863036229490538,0.7697246434311629
15,0.7931101881980698,0.780367485601099
20,0.793496075553114,0.7650629011355592
25,0.791216692523955,0.7695477473058253
30,0.784959544761332,0.7631362143565824
35,0.7949375316916342,0.7685428431068397
40,0.7997800502871516,0.7629473031113332
45,0.7999774038131199,0.7628044959135364
50,0.8015304308046554,0.7644543953099147
-10,0.01573220279102632,0.07435457372528312
-5,0.17748138468130295,0.2449446012825894
0,0.5772495362251904,0.5474788873389975
5,0.7176151327701108,0.7134602298001604
10,0.7680532589952633,0.7628717909426396
15,0.7805028122207076,0.7968946056146857
20,0.7823448436273894,0.7802959583791333
25,0.7949153617066711,0.7992933242928171
30,0.7939986687854583,0.7939806118739664
35,0.7888230049933129,0.7859619750568719
40,0.7954207133195613,0.7900096316352662
45,0.7941092379097252,0.7882519998128795
50,0.7954207133195613,0.7862326846241176
-10,0.02873934837092732,0.07285826974467947
-5,0.13577607457021018,0.25307449180245917
0,0.48633292192547906,0.5381782100342164
5,0.6809240812148543,0.7031469667130893
10,0.7781446073665463,0.7639061229362277
15,0.763259817165848,0.7657099230406575
20,0.7679146142467536,0.7612942777621459
25,0.7836101815519405,0.7626558731791403
30,0.7926580120839414,0.7653358600133615
35,0.782237648958426,0.7616547864480884
40,0.7823084850916071,0.7618282563890002
45,0.7841667893889358,0.7609053334541913
50,0.7841667893889358,0.762074240526079
-10,0.05411520780561028,0.1022459898775688
-5,0.1730027773644795,0.21031614903014498
0,0.513583131086249,0.5352062850826618
5,0.7204113545595323,0.6738289429478014
10,0.7769227203515083,0.7591051022872943
15,0.773068858763774,0.786421197996436
20,0.7920171688632649,0.7881731125570162
25,0.7955300963877475,0.7800665975611418
30,0.8029248529276355,0.7803992531164972
35,0.8016164533977574,0.7798371348959764
40,0.7946858647433864,0.7798371348959764
45,0.7960779076543657,0.7778914103696067
50,0.7946858647433864,0.7778914103696067
-10,0.016066859969298995,0.04827329153056926
-5,0.16394906758188216,0.2529110483801743
